latitude,longitude,marches
48.6,2.5,1044
43.3,3.3,1043
43.4,-0.6,1040
48.7,-2.0,1035
43.7,1.5,1020
44.1,0.9,1014
48.1,-1.2,1012
45.7,5.0,1010
49.6,3.8,1010
42.6,3.0,1008
44.9,6.6,1007
47.9,2.0,1005
45.2,1.5,1003
43.1,6.1,999
46.9,-1.0,998
45.9,5.9,994
47.7,-2.1,990
45.7,5.9,988
44.6,4.4,987
49.8,0.4,983
45.7,-0.6,980
45.6,5.2,978
46.7,0.4,976
50.5,3.0,975
47.8,-1.0,970
46.3,6.1,967
49.0,2.6,966
45.9,4.4,961
43.8,1.4,961
45.9,6.7,958
46.8,-1.5,957
48.9,2.0,957
43.1,1.6,953
45.0,4.8,938
49.1,6.8,926
50.5,2.7,924
44.1,3.1,920
46.8,4.9,915
47.7,-1.4,913
46.5,-1.6,913
50.1,1.8,909
46.2,1.9,909
46.1,6.6,905
49.2,6.9,898
49.2,6.2,897
46.6,-0.3,890
46.1,6.5,881
45.0,5.1,876
45.5,3.3,874
43.5,-1.6,873
46.8,-2.1,872
44.8,-0.5,871
43.5,5.0,869
45.8,6.4,865
47.1,-1.6,864
43.7,6.9,863
44.2,4.6,860
50.7,2.3,854
48.4,-1.8,852
48.3,-0.6,852
45.4,4.8,851
47.2,-0.7,849
45.7,-0.3,849
44.6,4.8,843
47.3,6.0,842
43.4,-1.7,840
43.3,3.5,838
48.1,5.1,832
42.9,1.7,829
48.2,-2.8,828
43.8,4.6,827
43.5,1.5,818
48.8,-3.5,817
47.8,-0.7,814
49.2,2.6,802
47.1,-1.3,801
48.8,3.1,793
45.1,3.9,793
45.7,3.2,789
48.0,-1.7,786
48.4,-4.6,784
51.0,2.3,775
48.8,-0.6,772
49.0,1.7,769
48.5,-2.5,768
46.5,-1.8,761
46.8,-0.5,759
48.4,1.4,755
50.7,2.5,748
45.2,4.7,748
43.2,5.8,747
45.9,4.8,746
45.8,4.6,745
49.2,2.9,742
48.1,-1.8,741
48.8,1.9,739
47.0,-2.3,722
48.1,5.2,720
48.4,2.2,719
43.3,5.6,715
47.4,0.8,713
48.6,6.5,712
48.9,2.7,711
48.6,-2.0,711
46.2,-1.2,710
46.4,6.6,708
43.7,4.2,704
44.8,-0.7,704
43.2,5.6,703
44.2,5.9,701
48.6,2.7,701
45.1,6.0,696
42.7,2.8,695
49.5,1.0,689
48.4,-4.4,689
49.1,2.1,687
44.3,4.8,683
42.8,3.0,681
48.9,6.1,680
46.2,6.7,677
45.8,4.7,676
47.5,-0.1,675
47.2,-1.3,675
45.9,4.7,673
50.4,3.6,667
46.6,3.4,667
43.2,-0.6,666
46.1,6.1,665
47.6,-0.5,664
49.7,-1.8,651
47.3,-1.3,649
47.7,-1.2,649
42.7,3.0,648
43.2,1.1,645
48.7,-3.3,639
48.3,6.9,636
45.0,-0.2,628
43.8,3.9,628
43.2,6.0,627
43.5,5.5,625
45.6,6.0,624
44.5,4.3,620
45.0,5.0,611
44.5,0.2,609
44.7,-1.1,609
47.4,5.1,608
46.2,6.3,607
43.1,0.2,606
45.4,5.3,603
43.2,6.5,603
48.8,-3.4,601
49.0,1.9,600
45.2,6.7,600
43.9,4.9,598
45.6,5.4,596
49.4,0.1,596
48.7,2.6,595
48.4,3.0,594
48.8,-0.9,594
43.6,4.2,594
44.0,5.0,592
45.9,0.9,591
42.7,9.4,590
48.4,7.6,587
43.8,4.7,586
45.3,4.2,586
45.5,6.1,584
46.7,5.9,580
43.5,4.1,579
48.5,-2.1,579
47.1,1.0,578
47.0,-0.2,576
45.1,6.1,573
44.1,1.1,573
45.9,6.3,572
48.1,-1.5,570
46.8,-1.9,569
45.3,3.4,567
43.6,6.7,563
48.9,-0.2,562
45.6,6.8,559
43.8,7.5,559
43.7,4.1,557
43.7,5.5,557
47.3,-1.0,557
50.8,2.3,557
50.4,3.0,555
47.4,5.6,554
48.9,2.8,554
48.5,-2.0,554
47.9,7.4,553
47.9,7.2,553
50.0,4.0,552
43.7,4.4,549
43.8,5.1,540
44.7,6.6,539
47.6,-2.5,538
48.2,0.7,538
47.4,-0.8,537
49.3,-1.5,537
44.1,5.1,537
42.7,9.5,536
48.3,0.8,534
45.9,6.9,532
47.9,-2.8,531
47.4,0.6,530
43.4,5.0,530
49.3,2.6,528
43.7,4.0,526
49.9,1.1,524
45.7,4.7,522
49.3,2.4,516
43.2,-0.2,516
48.6,1.8,515
42.6,2.8,514
44.4,1.4,511
44.0,1.1,510
43.8,1.3,509
49.5,0.2,507
43.5,-1.4,506
47.4,-0.9,504
43.2,6.6,503
50.9,1.9,501
49.3,-0.1,501
43.7,-1.0,497
47.4,-1.9,494
48.4,2.8,494
49.0,4.0,493
50.5,1.6,492
43.5,3.9,490
45.5,6.5,490
47.6,-0.7,486
46.4,6.1,481
43.3,1.2,480
45.9,5.3,477
48.8,7.6,477
45.8,1.1,476
45.7,5.4,476
43.4,5.3,475
47.8,-3.3,474
48.2,-1.5,474
46.1,3.5,473
43.4,-1.8,473
46.3,6.6,472
48.3,7.5,471
48.6,6.3,468
46.9,4.3,468
47.8,-0.3,467
48.2,1.4,465
49.9,2.5,464
49.1,1.5,464
48.5,2.8,462
46.3,6.3,461
43.7,4.3,459
50.8,3.1,459
45.2,6.1,459
43.4,3.1,458
43.4,1.4,457
48.1,0.2,457
46.6,5.2,455
48.0,-1.8,455
44.0,0.4,454
49.2,2.1,453
46.3,3.3,452
46.5,5.6,450
48.0,2.8,450
48.7,7.8,450
45.1,5.6,449
43.6,4.1,447
46.4,0.9,446
43.5,1.2,445
45.9,1.3,442
47.4,-2.1,442
45.9,6.4,442
49.1,6.7,440
44.0,4.4,440
47.1,5.0,438
48.0,1.9,436
47.9,-4.0,433
49.6,3.2,431
45.0,-0.4,430
48.6,3.3,430
47.2,5.4,430
50.3,3.5,429
44.0,4.8,429
49.1,2.7,429
45.7,5.1,427
49.2,2.4,425
47.9,2.2,425
49.5,5.9,423
43.9,1.4,423
45.5,3.7,420
43.4,-0.4,420
46.6,4.9,418
49.2,2.3,417
47.9,-4.2,414
48.8,7.9,414
45.9,3.5,413
45.2,4.8,413
46.1,5.8,412
44.4,0.6,411
46.5,4.1,410
47.2,-1.7,410
45.6,6.7,409
51.0,2.2,409
48.0,6.6,409
47.2,0.2,409
45.9,-0.5,409
45.3,5.6,409
49.5,2.4,406
45.1,4.1,405
