latitude,longitude,marches
45.8,6.2,116
47.6,-2.2,116
44.8,1.2,116
45.8,6.5,116
46.4,2.2,115
46.4,6.3,115
48.5,-3.0,115
47.7,-1.7,115
49.9,2.9,114
47.6,2.0,114
43.4,-0.5,114
47.8,-3.4,114
45.1,3.8,114
48.6,2.1,114
45.4,2.6,114
49.1,-0.2,114
49.8,2.7,113
50.7,1.8,113
43.4,5.6,113
42.9,1.9,113
43.7,3.8,113
49.4,1.2,113
46.5,-0.8,113
46.7,5.2,112
49.4,5.9,112
43.3,-0.2,112
43.3,5.5,112
44.8,1.9,112
45.0,0.4,111
45.6,6.3,111
43.7,7.0,110
48.3,4.0,110
46.3,-0.3,109
44.2,4.2,109
45.1,-0.4,109
43.9,1.0,109
43.4,1.3,109
45.9,5.1,108
45.0,4.9,108
46.3,1.7,108
47.8,-3.5,108
43.4,-1.6,108
48.3,0.3,107
47.9,2.5,107
46.1,3.9,107
44.4,4.4,107
46.1,4.9,107
47.3,5.7,107
44.1,2.2,106
48.8,-1.0,106
48.3,0.4,106
48.1,6.0,106
48.1,6.9,106
45.6,5.5,106
48.4,-1.4,106
45.7,5.8,106
48.4,6.3,106
46.4,5.9,105
43.3,5.2,105
48.6,2.8,105
47.5,-2.9,105
48.9,-0.8,105
46.8,-1.1,105
43.9,3.2,105
46.6,-1.9,105
44.8,0.5,105
46.6,4.2,105
49.1,5.0,104
44.0,-0.9,104
43.9,2.0,104
48.0,0.9,104
43.3,-1.0,103
42.9,0.2,103
46.9,-1.1,103
49.0,3.0,102
45.7,3.1,102
44.7,4.8,102
43.8,-1.3,102
48.2,4.7,102
46.8,-1.6,101
45.3,5.2,101
47.1,-0.5,101
49.8,0.9,101
47.8,-4.2,100
47.5,-1.3,100
44.6,-1.0,100
47.9,-0.4,100
45.5,0.7,100
49.4,6.1,99
47.4,-2.0,99
48.0,0.5,99
47.6,0.9,99
46.3,5.1,99
43.7,5.8,99
48.1,0.3,98
48.2,-4.2,98
46.0,6.3,98
47.9,0.5,98
47.4,-1.4,98
46.8,-1.0,98
47.5,0.9,98
49.1,2.8,97
48.3,-4.7,97
46.6,1.5,97
47.6,7.1,97
48.6,1.4,97
47.8,5.6,97
49.6,1.1,97
47.8,-2.4,97
44.9,5.0,97
48.8,1.2,97
49.4,2.7,96
45.5,2.3,96
43.8,0.7,96
44.7,6.1,96
50.9,1.8,96
43.7,5.2,96
45.1,1.7,95
44.0,4.7,95
45.3,5.0,95
45.7,4.6,95
48.4,0.3,95
47.0,0.1,95
50.0,2.7,95
44.3,-1.1,95
43.7,1.7,95
43.4,3.2,94
44.5,4.8,94
45.4,5.7,94
49.0,-0.6,94
48.1,0.4,94
47.1,4.8,94
46.4,2.5,93
46.8,5.7,93
47.6,4.0,93
47.9,-2.6,93
46.4,-0.1,93
47.9,-0.9,93
46.6,2.0,93
49.2,-1.4,92
44.2,7.1,92
43.9,3.7,92
49.4,2.2,92
49.6,5.2,92
49.1,6.1,92
47.2,1.6,92
45.8,-0.1,92
43.4,1.1,92
49.0,8.0,91
46.7,4.7,91
48.4,4.7,91
45.8,4.5,91
43.3,1.5,91
43.7,-1.4,91
44.5,6.6,91
47.3,1.4,91
44.1,4.7,90
43.4,-1.3,90
46.3,-1.0,90
44.4,4.6,90
50.5,2.8,90
43.8,5.9,90
44.3,5.8,90
49.0,-0.5,90
48.9,3.2,89
45.0,4.0,89
45.4,4.2,89
46.6,-1.2,89
47.8,0.2,89
50.5,3.6,89
44.9,1.5,89
48.4,7.5,89
42.6,2.9,89
45.1,4.0,89
43.8,2.8,89
47.8,-1.7,88
49.7,0.8,88
47.9,-0.1,88
48.6,7.6,88
49.5,1.9,88
45.1,5.0,88
47.7,0.1,87
45.7,6.6,87
48.7,2.7,87
49.3,6.3,87
45.6,4.4,87
45.5,5.7,87
49.4,0.5,87
48.3,-1.6,87
46.0,4.4,87
43.8,1.6,86
47.9,4.6,86
48.2,3.0,86
48.0,7.4,86
44.3,4.6,86
47.3,6.6,86
46.1,1.3,86
43.2,1.2,85
51.1,2.5,85
48.7,7.5,85
43.4,-0.3,85
43.3,5.9,85
49.4,3.3,85
49.0,1.8,85
47.9,3.1,85
46.6,-0.7,84
49.7,1.6,84
44.0,4.3,84
46.1,4.7,84
48.6,-2.5,84
43.7,6.8,84
49.0,2.8,83
48.3,-2.2,83
47.0,2.2,83
47.1,-1.9,83
45.7,3.3,83
45.7,4.4,83
48.6,-1.8,83
48.5,6.7,83
47.5,-2.4,83
45.8,6.6,82
48.2,-1.4,82
44.6,2.1,82
50.9,2.1,82
45.6,5.8,82
49.4,6.3,82
41.6,9.3,82
48.6,7.4,82
50.5,3.3,82
47.2,-2.2,82
51.0,2.0,82
43.3,5.1,82
43.0,2.4,81
45.5,6.6,81
49.2,4.1,81
47.1,-1.2,81
43.3,1.1,81
46.8,-2.0,81
49.2,6.1,81
43.2,1.6,81
46.2,-0.2,81
48.0,5.3,81
49.0,1.6,81
44.9,0.4,80
44.9,0.2,80
48.8,1.7,80
42.9,2.2,80
44.5,1.2,80
46.8,-1.8,80
48.6,-3.3,80
50.9,2.0,80
47.3,4.2,80
48.0,-4.2,79
45.4,6.3,79
45.0,5.7,79
48.6,-2.9,79
45.5,6.3,79
47.5,1.2,79
46.9,2.6,79
45.3,1.5,79
45.4,5.8,79
42.0,9.4,79
43.1,0.9,79
48.3,6.6,79
47.3,1.1,79
45.7,0.9,78
44.8,2.7,78
47.7,-2.9,78
45.6,4.6,78
43.5,2.8,78
48.2,-0.2,78
45.9,2.7,78
48.1,-4.2,78
44.7,4.2,78
47.9,1.2,78
44.4,5.3,78
50.6,2.8,78
46.2,-0.9,77
48.5,-1.6,77
48.2,0.9,77
47.9,-1.8,77
46.1,4.5,77
46.4,6.8,77
48.6,1.6,77
48.4,0.7,77
49.1,2.6,77
43.3,3.1,77
48.6,-2.3,77
48.5,-2.2,77
45.4,-0.4,76
49.9,1.3,76
50.4,2.6,76
49.8,4.6,76
45.8,1.5,76
47.9,7.0,76
48.7,-3.0,76
45.3,6.0,76
48.2,1.9,75
45.4,2.3,75
46.3,5.2,75
46.3,3.6,75
43.8,2.2,75
49.2,1.4,75
44.3,4.2,75
47.5,4.4,75
48.5,-4.0,75
43.4,3.6,75
49.3,2.7,75
45.9,5.8,75
45.1,3.7,75
48.3,-4.5,75
45.8,6.7,75
44.9,2.3,75
45.1,3.6,75
49.2,1.3,74
44.0,7.3,74
44.3,1.4,74
45.2,4.4,74
48.6,-1.9,74
43.7,5.4,74
48.2,-2.6,74
43.3,1.3,74
46.9,4.7,74
44.9,4.4,74
48.9,1.4,74
44.9,5.4,73
46.8,-1.4,73
44.7,-0.1,73
43.0,1.1,73
50.6,1.6,73
46.4,6.0,73
49.3,0.9,73
44.5,4.2,73
48.5,1.7,73
44.7,0.6,73
43.9,0.7,73
49.3,0.2,73
49.5,2.8,73
45.2,5.4,73
49.4,6.0,72
48.9,7.4,72
48.4,-4.2,72
42.5,8.9,72
46.4,-1.5,72
50.8,2.2,72
48.2,0.1,72
44.7,2.9,72
45.7,1.2,72
50.9,2.2,72
48.6,1.0,72
43.9,4.3,72
44.9,4.0,72
49.3,1.8,72
44.6,3.3,72
46.7,5.0,72
47.5,5.1,72
45.4,0.6,71
47.7,6.9,71
43.8,-0.4,71
48.9,-0.6,71
43.3,6.2,71
45.7,6.1,71
43.2,2.1,71
44.9,6.7,70
43.7,5.0,70
46.0,3.2,70
43.5,6.8,70
43.5,6.4,70
46.5,6.0,70
49.7,0.6,70
47.1,5.9,70
45.9,5.2,70
48.7,6.5,70
48.5,0.4,70
49.8,3.1,70
49.9,1.6,70
46.4,-0.4,70
47.2,-2.0,70
43.4,4.8,69
48.2,1.2,69
47.9,6.8,69
44.7,5.1,69
44.4,4.1,69
49.2,2.7,69
45.6,2.8,69
49.5,2.0,69
47.6,-2.1,69
46.3,5.4,68
44.9,1.6,68
44.9,1.0,68
43.2,-0.4,68
43.5,3.7,68
46.6,5.4,68
43.9,-0.6,68
45.0,3.8,68
46.8,6.4,68
43.3,-1.4,68
42.5,9.5,68
47.7,-2.6,68
50.1,1.5,68
43.5,5.2,68
48.2,-2.2,68
49.0,6.6,67
48.4,-2.0,67
45.2,4.0,67
49.8,1.8,67
50.3,2.9,67
46.1,5.9,67
43.8,1.5,67
45.8,5.2,67
48.5,7.4,67
43.4,0.1,67
48.0,-3.8,67
46.4,-1.4,67
44.5,0.8,66
48.6,-4.4,66
48.2,-1.6,66
43.3,1.6,66
43.5,5.7,66
47.8,-3.6,66
45.1,1.2,66
45.7,6.5,66
48.3,2.0,66
46.2,5.6,66
45.2,2.3,65
46.2,3.4,65
49.6,4.5,65
49.0,5.2,65
42.8,9.5,65
47.5,0.5,65
50.0,3.9,65
47.9,3.4,65
47.1,2.2,65
48.0,-1.4,65
43.6,-1.1,64
47.5,-2.3,64
45.3,-0.6,64
43.4,6.0,64
45.0,0.1,64
45.2,-0.7,64
46.0,4.5,64
47.4,-3.2,64
50.3,2.7,64
45.3,3.8,64
43.6,6.6,64
46.2,6.4,64
47.7,-1.3,64
46.3,-1.4,64
46.7,-0.7,63
45.2,3.5,63
46.9,6.2,63
45.0,4.4,63
48.6,2.9,63
43.8,6.0,63
47.1,6.6,63
45.9,1.1,63
46.9,-1.8,63
48.1,2.3,63
50.8,1.8,63
45.9,3.4,63
47.7,-1.5,63
47.7,0.6,63
48.1,-1.0,63
49.2,1.7,63
44.5,6.3,63
45.5,5.4,63
45.2,6.4,63
44.7,1.4,63
46.0,1.3,63
47.1,6.1,63
45.7,2.8,62
48.4,5.1,62
44.9,5.8,62
48.5,-4.5,62
46.3,3.4,62
48.8,7.7,62
47.6,0.7,62
48.2,7.6,62
43.5,6.0,62
47.6,2.8,61
48.4,6.8,61
48.3,-1.5,61
42.8,1.6,61
49.2,0.9,61
48.7,-3.4,61
44.3,6.9,61
48.2,0.4,61
48.5,-1.7,61
48.3,-1.9,61
43.7,5.7,60
44.7,4.3,60
48.2,2.0,60
47.0,-1.7,60
43.3,-0.5,60
49.5,5.2,60
43.9,1.2,60
46.2,4.3,60
45.9,3.2,60
44.9,1.9,60
50.3,3.8,60
44.4,0.5,60
44.8,-0.4,60
48.0,2.4,60
49.4,2.3,60
47.8,2.8,60
46.6,5.0,60
46.8,-0.9,59
49.0,7.0,59
47.6,-2.9,59
48.8,5.6,59
43.7,5.1,59
47.4,6.5,59
44.2,5.0,59
44.9,-0.3,59
47.8,-0.1,59
48.8,-3.3,59
49.9,4.4,59
48.5,-1.1,59
46.7,0.2,59
45.9,4.1,59
48.2,-2.3,59
48.5,4.7,59
44.2,4.7,59
43.8,2.0,59
48.2,-4.0,59
47.5,3.5,59
44.8,4.0,59
47.5,6.9,58
46.6,-1.5,58
43.2,1.4,58
44.3,2.5,58
48.6,-1.2,58
47.3,1.2,58
48.6,0.7,58
49.5,-1.8,58
46.6,4.1,58
46.4,-0.3,57
44.8,3.8,57
44.2,1.2,57
45.2,4.9,57
43.5,0.6,57
45.6,-1.1,57
49.5,2.3,57
44.8,6.6,57
45.1,5.9,57
46.9,-1.7,57
47.2,0.0,57
43.5,0.9,56
43.6,1.6,56
44.3,3.1,56
44.5,5.8,56
48.6,-3.5,56
47.1,2.5,56
43.3,6.3,56
43.3,-1.6,56
48.2,0.0,56
45.8,4.0,56
44.5,5.1,56
46.6,-1.8,56
43.9,0.4,56
46.7,-1.7,55
46.0,6.4,55
49.0,0.1,55
46.3,4.5,55
46.4,6.4,55
49.0,-0.4,55
47.7,1.0,55
44.1,1.0,54
43.4,5.9,54
46.1,-0.3,54
50.0,4.7,54
50.9,2.3,54
48.0,-0.6,54
43.7,2.1,54
42.9,-0.1,54
47.9,-3.3,53
47.8,2.5,53
48.0,-3.7,53
43.6,-0.7,53
48.8,-1.3,53
47.8,0.0,53
46.9,-1.6,53
44.3,1.1,53
46.6,4.7,53
46.5,-0.9,53
43.9,7.2,53
50.8,2.5,53
44.2,4.8,53
48.3,7.7,53
44.3,3.2,53
46.2,-0.1,53
45.0,4.6,53
45.6,4.0,53
47.6,-0.6,52
46.1,6.8,52
47.9,6.9,52
46.6,5.8,52
47.9,1.5,52
47.4,5.8,52
43.7,3.1,52
45.9,3.6,52
46.3,1.4,52
48.4,-0.8,52
50.6,2.4,52
48.5,6.1,52
47.6,-1.7,52
44.7,-0.4,52
48.4,-2.9,52
43.9,-1.1,52
43.7,-0.1,52
44.3,0.3,52
48.1,-1.1,52
43.9,4.5,52
47.4,-0.3,51
47.8,-3.0,51
48.8,-1.2,51
44.6,-0.8,51
47.8,3.8,51
49.5,0.8,51
47.8,-0.2,51
48.1,3.3,51
45.9,4.6,51
46.3,-0.2,51
47.8,-4.3,51
50.3,3.0,51
43.2,-0.7,51
48.5,-1.0,51
46.8,-1.7,51
48.3,7.2,51
47.8,1.3,51
45.6,6.2,51
49.3,-0.8,51
45.6,-0.3,50
48.3,3.2,50
48.3,-1.1,50
51.0,2.6,50
48.9,6.0,50
46.2,1.1,50
43.7,3.0,50
43.4,-0.1,50
42.9,0.4,50
49.8,3.4,50
47.0,5.4,50
44.3,1.5,50
43.4,4.9,50
46.0,5.0,50
49.7,1.4,50
49.5,3.0,50
48.4,5.7,50
48.3,-2.7,49
44.8,6.5,49
43.7,-0.6,49
48.0,-3.9,49
49.1,-1.4,49
49.1,6.3,49
44.4,-0.2,49
48.7,6.1,49
44.5,2.2,48
49.1,1.4,48
46.0,2.2,48
45.8,0.3,48
50.1,3.8,48
47.1,-2.0,48
47.7,6.8,48
48.5,6.3,48
46.1,3.1,48
44.6,0.5,48
46.8,4.7,48
48.7,5.6,48
45.6,4.5,47
48.5,7.2,47
48.0,6.9,47
49.4,1.7,47
49.3,2.8,47
43.7,1.8,47
45.1,4.9,47
51.1,2.4,47
46.6,0.9,47
48.5,1.6,47
48.1,-4.0,47
49.7,1.3,47
48.9,1.6,46
47.5,-2.5,46
50.7,2.7,46
45.0,4.2,46
48.4,-2.1,46
46.3,4.6,46
47.1,6.2,46
43.3,1.7,46
47.2,5.0,46
48.7,1.1,46
47.4,-1.1,46
44.5,-1.1,46
48.0,7.6,46
45.9,1.4,46
49.5,2.7,46
49.5,6.0,46
47.0,5.7,46
44.8,4.9,46
49.9,2.2,46
44.4,0.2,45
45.7,3.4,45
44.7,5.9,45
44.8,4.6,45
48.4,2.1,45
47.3,-0.5,45
44.5,-0.2,45
49.7,4.7,45
45.3,0.5,45
43.9,5.9,45
46.3,4.2,45
47.2,5.9,45
46.2,4.8,45
46.7,-1.8,45
43.8,-0.6,45
44.2,2.5,45
49.7,2.8,45
45.3,4.8,45
47.9,-0.3,44
45.3,3.7,44
48.3,7.6,44
47.3,4.6,44
48.9,-1.5,44
43.9,4.2,44
48.3,7.3,44
43.0,-0.6,44
47.1,5.3,44
48.0,-2.6,44
43.6,-0.3,44
43.2,-0.9,44
49.8,2.5,44
46.7,-0.8,44
42.6,2.1,44
44.2,0.7,44
42.8,2.8,44
48.3,3.1,44
48.1,-0.3,44
47.6,5.2,44
45.6,3.7,44
49.3,5.9,44
48.9,6.6,44
46.9,0.7,44
48.4,-1.7,43
47.8,-1.2,43
45.1,-0.7,43
45.5,6.2,43
48.1,1.1,43
48.3,1.0,43
45.3,5.1,43
45.6,2.1,43
48.0,-3.4,43
48.5,-2.9,43
47.3,4.8,43
46.0,6.5,43
45.4,1.1,43
45.8,4.3,43
49.4,-1.8,43
48.7,-4.2,43
47.7,6.7,43
49.2,5.6,43
44.7,0.9,43
44.7,2.8,43
43.2,-1.2,43
49.0,6.8,43
43.5,0.4,43
45.7,4.5,43
46.2,5.0,42
47.0,2.5,42
44.1,4.5,42
45.8,3.6,42
49.0,3.9,42
48.5,5.5,42
45.9,-0.9,42
43.4,1.6,42
48.2,1.3,42
44.9,-0.1,42
47.8,-1.1,42
49.7,2.2,42
46.8,-0.4,42
48.1,7.5,42
46.2,1.2,42
47.2,5.7,42
47.2,5.3,42
47.9,3.6,42
45.3,4.6,42
47.3,5.9,42
45.6,-0.1,42
48.0,0.0,42
48.6,-4.2,42
47.8,0.1,42
47.8,-2.8,42
47.7,0.5,42
49.7,3.1,42
44.4,2.3,42
48.2,2.5,42
44.9,4.2,42
48.0,3.9,42
46.5,4.6,42
44.1,4.0,42
49.2,-1.5,42
48.8,1.4,42
49.4,1.9,42
49.7,3.0,42
46.6,0.6,42
45.2,3.7,41
47.5,0.8,41
47.8,0.8,41
48.9,1.5,41
50.1,3.5,41
47.9,6.7,41
47.7,-3.1,41
43.5,6.2,41
48.3,2.6,41
48.8,0.7,41
47.8,5.4,41
49.6,2.2,41
49.4,-1.5,41
45.8,0.8,41
47.2,6.7,41
43.1,1.3,41
48.9,7.2,41
45.6,1.4,41
46.0,4.2,41
47.0,3.4,41
47.8,1.4,41
48.0,3.6,41
48.4,0.9,41
48.7,-3.6,41
45.0,-0.5,41
47.1,5.2,41
45.2,0.1,40
45.7,1.4,40
48.3,1.6,40
46.4,4.6,40
47.1,0.6,40
47.4,-2.5,40
48.4,6.7,40
48.1,4.4,40
49.9,3.6,40
48.4,-3.7,40
45.7,-0.1,40
43.6,-0.4,40
44.2,1.8,40
46.4,5.6,40
49.1,5.4,40
46.0,4.9,40
49.2,5.8,40
48.7,4.6,40
47.1,-2.2,40
46.6,-0.4,40
49.9,4.5,40
49.3,-1.7,40
49.6,2.8,40
49.9,4.8,40
43.2,-0.5,40
49.4,0.9,40
43.2,3.3,39
47.3,5.4,39
49.5,0.7,39
46.0,-0.0,39
46.3,6.7,39
48.5,-1.9,39
49.1,4.0,39
48.5,1.2,39
43.1,-0.9,39
47.4,-0.7,39
47.0,-0.4,39
42.6,9.4,39
44.0,-1.3,39
43.8,-0.8,39
46.4,2.6,39
46.7,4.3,39
48.3,-4.1,39
48.9,4.4,39
49.2,1.8,39
47.2,5.8,39
49.2,2.2,39
49.0,4.1,38
45.3,5.3,38
48.4,6.9,38
47.8,2.2,38
44.1,0.3,38
43.7,0.9,38
46.9,5.0,38
44.8,4.1,38
50.1,3.7,38
48.2,4.5,38
45.3,-1.0,38
49.8,3.9,38
45.2,5.6,38
47.7,-2.5,38
43.2,-1.3,38
47.4,1.1,38
47.9,2.3,38
46.5,0.4,38
49.3,6.0,38
46.8,4.5,38
49.3,2.9,37
49.3,3.7,37
45.0,5.3,37
47.9,6.1,37
45.2,5.0,37
46.9,2.3,37
47.5,6.4,37
43.9,0.6,37
48.1,-0.9,37
44.8,3.9,37
46.2,5.9,37
48.5,-2.6,37
47.9,-3.5,37
47.9,1.1,37
45.9,3.8,37
47.6,-3.0,37
47.6,2.5,37
47.1,6.7,37
44.7,3.3,37
45.3,4.0,36
46.8,2.9,36
44.4,6.0,36
48.1,-3.8,36
43.6,5.8,36
44.5,3.2,36
44.7,2.2,36
47.5,0.3,36
48.6,-2.4,36
49.3,2.3,36
45.7,1.1,36
49.2,7.0,36
46.9,-0.2,36
48.9,8.2,36
47.4,6.8,36
48.9,7.1,36
47.8,2.3,36
47.6,-3.2,36
43.8,-1.4,36
47.9,5.0,36
50.0,2.0,36
43.7,3.6,35
48.8,1.5,35
46.6,-1.7,35
47.5,5.4,35
47.5,1.8,35
43.6,5.4,35
44.5,6.5,35
48.3,3.8,35
43.9,3.9,35
46.7,4.5,35
47.9,-2.0,35
44.3,2.8,35
48.2,-0.9,35
43.4,-0.8,35
44.9,5.6,35
43.5,-0.5,35
47.9,-0.2,35
49.5,0.9,35
43.9,-0.1,35
47.3,0.1,35
49.2,1.6,35
48.8,4.0,35
49.1,6.4,35
46.5,6.1,35
50.7,2.4,35
50.0,1.4,35
44.8,3.3,35
41.9,9.4,35
45.6,3.6,35
48.6,6.8,35
48.8,3.0,35
50.6,3.3,35
43.9,0.1,34
50.0,2.1,34
48.8,-0.5,34
47.0,0.8,34
44.6,2.2,34
47.4,6.1,34
46.0,5.9,34
45.4,2.4,34
45.1,4.7,34
45.1,-1.0,34
44.8,5.8,34
43.7,1.1,34
46.5,4.9,34
47.0,0.2,34
45.7,-0.4,34
48.0,-3.0,34
45.5,6.8,34
46.2,3.7,34
46.5,-1.5,34
48.2,5.6,34
46.0,6.9,34
48.4,1.8,34
44.3,2.1,34
45.0,0.3,34
47.2,6.9,34
44.3,1.0,34
48.1,-2.6,34
48.3,1.1,34
48.3,-3.9,33
47.1,4.9,33
45.2,-0.9,33
42.3,9.5,33
45.6,0.3,33
49.9,3.7,33
49.1,7.0,33
44.5,2.7,33
48.8,1.8,33
44.0,6.5,33
45.3,5.5,33
50.8,1.7,33
48.4,0.4,33
47.6,-2.4,33
48.9,7.3,33
48.6,-4.0,33
49.6,2.9,33
45.3,1.6,33
48.6,-1.6,33
43.6,-1.3,33
47.9,-1.9,33
47.8,3.5,33
44.1,1.3,33
49.5,1.4,33
45.1,1.9,33
49.6,2.0,33
49.0,7.8,33
49.1,7.3,33
48.6,-1.3,33
44.4,4.2,33
49.9,4.6,33
49.3,6.5,33
48.2,2.7,33
49.2,-0.5,33
48.6,-1.5,33
44.7,1.3,33
47.0,-0.5,32
49.6,-1.7,32
44.4,-0.8,32
43.8,-0.0,32
44.8,1.0,32
46.1,-1.1,32
49.3,0.1,32
46.5,2.6,32
49.4,2.5,32
48.6,-0.1,32
48.0,-3.5,32
44.4,2.8,32
47.1,1.2,32
48.9,1.8,32
47.7,0.0,32
46.3,-0.6,32
47.4,0.5,32
47.5,1.4,32
49.0,6.0,32
46.8,-1.3,32
47.7,-2.3,32
46.8,5.2,32
45.5,0.8,32
45.5,5.9,32
44.1,5.4,31
44.0,1.6,31
47.3,1.7,31
47.9,-3.7,31
44.8,0.3,31
49.1,1.9,31
46.6,6.0,31
46.9,3.3,31
49.0,-1.6,31
44.8,6.7,31
49.7,2.6,31
42.5,2.6,31
47.3,5.3,31
47.8,-2.5,31
48.0,6.8,31
46.9,0.6,31
46.7,-1.3,31
43.7,5.9,31
44.7,4.7,31
49.3,5.8,31
45.6,6.4,31
45.2,4.6,31
48.1,1.0,31
43.5,-1.3,31
48.5,-5.1,31
44.0,3.0,31
45.0,1.7,31
46.2,1.6,31
48.2,-3.7,31
47.9,-4.1,31
47.4,-2.4,31
49.5,4.4,31
44.4,2.4,31
47.1,4.5,31
44.6,1.2,31
